Date,Token,Type,Price,Amount,Total,Currency
2026-06-26,ETHFI,staking_reward,0,71,0.00,USD
2026-06-24,BTC,staking_reward,0,0.01,0.00,USD
2026-06-24,ETH,staking_reward,0,1,0.00,USD
2026-06-24,BTC,staking_reward,0,0.11,0.00,USD
2026-06-24,USDT,buy,0.9984,11000,10982.40,USD
2026-06-06,USDT,sell,0.9995,3000,2998.50,USD
2026-06-06,SOL,buy,60,10,600.00,USD
2026-06-05,ETHFI,buy,0.3,1000,300.00,USD
2026-05-23,ETHFI,buy,0.35,1000,350.00,USD
2026-04-29,ETHFI,buy,0.41,2000,820.00,USD
2026-04-21,USDT,sell,1.0003,2000,2000.60,USD
2026-04-21,ETHFI,buy,0.46,2000,920.00,USD
2026-03-31,HYPE,buy,36,1,36.00,USD
2026-03-30,HYPE,buy,37,1,37.00,USD
2026-03-28,HYPE,buy,38,1,38.00,USD
2026-03-25,HYPE,buy,40.75,20,815.00,USD
2026-02-12,USDT,sell,0.9997,1000,999.70,USD
2026-02-05,USDT,sell,0.9978,2000,1995.60,USD
2026-02-05,SOL,buy,78.45,10,784.50,USD
2025-12-01,USDT,sell,0.9998,2000,1999.60,USD
2025-11-21,USDT,sell,0.9993,1000,999.30,USD
2025-11-19,USDT,sell,0.9991,1000,999.10,USD
2025-11-14,USDT,sell,0.9994,150,149.91,USD
2025-10-05,USDT,buy,1,12500,12500.00,USD
2025-10-05,BTC,sell,125000,0.1,12500.00,USD
2025-08-14,USDT,buy,1,10744,10744.00,USD
2025-08-14,BTC,sell,123500,0.087,10744.50,USD
2025-07-18,ATOM,buy,0,20,0.00,USD
2025-07-18,TAO,buy,0,1,0.00,USD
2025-07-14,USDT,buy,1,12000,12000.00,USD
2025-07-14,BTC,sell,120000,0.1,12000.00,USD
2025-07-13,USDT,buy,1,11900,11900.00,USD
2025-07-13,BTC,sell,119000,0.1,11900.00,USD
2025-07-11,USDT,buy,1,11700,11700.00,USD
2025-07-11,BTC,sell,117000,0.1,11700.00,USD
2025-07-10,USDT,buy,1.0001,22000,22002.20,USD
2025-07-10,BTC,sell,115000,0.1,11500.00,USD
2025-07-10,BTC,sell,114000,0.1,11400.00,USD
2025-07-10,USDT,buy,1,10000,10000.00,USD
2025-07-10,BTC,buy,0,0.15,0.00,USD
2025-07-10,BTC,sell,113000,0.1,11300.00,USD
2025-07-10,BTC,sell,112500,0.1,11250.00,USD
2025-05-22,USDT,buy,1,33000,33000.00,USD
2025-05-22,BTC,sell,110000,0.3,33000.00,USD
2025-05-18,USDT,sell,1.0001,4663,4663.47,USD
2025-05-18,ETH,buy,2331.46,2,4662.92,USD
2025-05-18,USDT,sell,1.0001,4728,4728.47,USD
2025-05-18,ETH,buy,2363.78,2,4727.56,USD
2025-05-18,USDT,sell,1.0001,4816,4816.48,USD
2025-05-18,ETH,buy,2408.8,2,4817.60,USD
2025-05-11,USDT,buy,1.0001,25020,25022.50,USD
2025-05-11,ETH,sell,2502,10,25020.00,USD
2025-04-26,ETH,buy,0,2,0.00,USD
2025-04-09,GNO,buy,95.91,10,959.10,USD
2025-04-09,ETH,sell,1503.35,1,1503.35,USD
2025-04-09,USDT,sell,0.9995,2000,1999.00,USD
2025-04-09,NEAR,buy,1.856,500,928.00,USD
2025-04-06,USDT,buy,0.9996,4885,4883.05,USD
2025-04-06,ETH,sell,1628,3,4884.00,USD
2025-03-13,ATOM,buy,0,8,0.00,USD
2025-03-11,USDT,sell,0.9999,224,223.98,USD
2025-03-11,SOL,buy,112.41,2,224.82,USD
2025-03-10,USDT,sell,0.9994,244,243.85,USD
2025-03-10,SOL,buy,121.61,2,243.22,USD
2025-03-10,USDT,sell,0.9998,507,506.90,USD
2025-03-10,NEAR,buy,2.537,200,507.40,USD
2025-03-10,USDT,sell,0.9998,250,249.95,USD
2025-03-10,SOL,buy,125.49,2,250.98,USD
2025-03-09,USDT,sell,0.9998,255,254.95,USD
2025-03-09,SOL,buy,127.64,2,255.28,USD
2025-03-09,USDT,sell,0.9996,260,259.90,USD
2025-03-09,SOL,buy,129.85,2,259.70,USD
2025-03-04,USDT,sell,0.9992,264,263.79,USD
2025-03-04,SOL,buy,132.33,2,264.66,USD
2025-03-04,USDT,sell,0.9994,233,232.86,USD
2025-03-04,USDT,sell,0.9996,586,585.77,USD
2025-03-04,NEAR,buy,2.68,200,536.00,USD
2025-03-04,USDT,sell,0.9995,552,551.72,USD
2025-03-04,NEAR,buy,2.763,200,552.60,USD
2025-03-04,USDT,sell,0.9994,586,585.65,USD
2025-03-04,NEAR,buy,2.783,200,556.60,USD
2025-03-04,USDT,sell,0.9993,500,499.65,USD
2025-03-03,USDT,sell,0.9995,252,251.87,USD
2025-03-03,USDT,sell,0.9992,230,229.82,USD
2025-03-03,TAO,buy,0,2,0.00,USD
2025-02-25,USDT,sell,0.9987,1350,1348.25,USD
2025-02-25,SOL,buy,135,10,1350.00,USD
